artist,song_title,lyric_with_blank,answer,full_lyric,difficulty,tag
David Bowie,Rebel Rebel,"You've got your _____ in a whirl, she's not sure if you're a boy or a girl",MOTHER,"You've got your mother in a whirl, she's not sure if you're a boy or a girl",Medium,Rock Iconic
George Thorogood,Bad to the Bone,On the day I was _____ the nurses all gathered 'round,BORN,On the day I was born the nurses all gathered 'round,Medium,Rock Iconic
Van Morrison,Moondance,It's a marvelous _____ for a moondance with the stars up above in your eyes,NIGHT,It's a marvelous night for a moondance with the stars up above in your eyes,Easy,Rock Iconic
Primal Scream,Rocks,Get your _____ off,ROCKS,Get your rocks off,Medium,Rock Iconic
ZZ Top,Tush,I'm _____ for some tush,LOOKING,I'm looking for some tush,Medium,Rock Iconic
R.E.M.,The One I Love,This one goes out to the one I _____,LOVE,This one goes out to the one I love,Easy,Rock Iconic
Bon Jovi,Always,I'll be there 'til the stars don't shine 'til the _____ burst and the words don't rhyme,HEAVENS,I'll be there 'til the stars don't shine 'til the heavens burst and the words don't rhyme,Easy,Rock Iconic
Black Sabbath,Iron Man,Has he _____ his mind?,LOST,Has he lost his mind?,Easy,Rock Iconic
Meat Loaf,I'd Do Anything for Love,I would do anything for love but I _____ do that,WONT,I would do anything for love but I won't do that,Easy,Rock Iconic
Green Day,Basket Case,Do you have the time to listen to me _____?,WHINE,Do you have the time to listen to me whine?,Easy,Rock Iconic
Chuck Berry,You Never Can Tell,"It was a teenage _____, and the old folks wished them well",WEDDING,"It was a teenage wedding, and the old folks wished them well",Medium,Rock Iconic
AC/DC,Back in Black,I'm back in black I hit the sack I've been too _____ I'm glad to be back,LONG,I'm back in black I hit the sack I've been too long I'm glad to be back,Easy,Rock Iconic
Lovin' Spoonful,Summer in the City,Hot town _____ in the city back of my neck getting dirty and gritty,SUMMER,Hot town summer in the city back of my neck getting dirty and gritty,Easy,Rock Iconic
Bruce Springsteen,Born in the U.S.A.,Born down in a dead _____ town the first kick I took was when I hit the ground,MANS,Born down in a dead man's town the first kick I took was when I hit the ground,Easy,Rock Iconic
The Kinks,You Really Got Me,"Girl, you really got me now, you got me so I don't know what I'm _____",DOIN,"Girl, you really got me now, you got me so I don't know what I'm doin'",Easy,Rock Iconic
Genesis,Jesus He Knows Me,Jesus he knows me and he _____ I'm right,KNOWS,Jesus he knows me and he knows I'm right,Medium,Rock Iconic
T. Rex,Get It On,Well you're dirty and sweet clad in _____ don't look back and I love you,BLACK,Well you're dirty and sweet clad in black don't look back and I love you,Medium,Rock Iconic
Gary Moore,Walking by Myself,I'm walking by _____,MYSELF,I'm walking by myself,Medium,Rock Iconic
Toto,Africa,I _____ the rains down in Africa,BLESS,I bless the rains down in Africa,Easy,Rock Iconic
Patti Smith,Because the Night,Because the night _____ to lovers,BELONGS,Because the night belongs to lovers,Medium,Rock Iconic
Rosendo,I Would Not Hesitate,I would not _____,HESITATE,I would not hesitate,Hard,Rock Iconic
Mountain,Mississippi Queen,Mississippi Queen you _____ what I mean,KNOW,Mississippi Queen you know what I mean,Medium,Rock Iconic
Helloween,I Want Out,I _____ out to live my life alone,WANT,I want out to live my life alone,Hard,Rock Iconic
MC5,Kick Out the Jams,Kick out the _____,JAMS,Kick out the jams,Medium,Rock Iconic
Ramones,Blitzkrieg Bop,Hey ho _____ go,LETS,Hey ho let's go,Easy,Rock Iconic
Chris Rea,The Road to Hell,On the _____ to hell,ROAD,On the road to hell,Medium,Rock Iconic
Queen,Innuendo,While we live according to _____ color or creed,RACE,While we live according to race color or creed,Hard,Rock Iconic
Judas Priest,United,United we stand _____ we fall,DIVIDED,United we stand divided we fall,Easy,Rock Iconic
Red Hot Chili Peppers,Give It Away,Give it _____ give it away give it away now,AWAY,Give it away give it away give it away now,Easy,Rock Iconic
Buzzcocks,Ever Fallen in Love,"Ever _____ in love with someone, you shouldn't've fallen in love with?",FALLEN,"Ever fallen in love with someone, you shouldn't've fallen in love with?",Easy,Rock Iconic
Motörhead,Born to Raise Hell,Born to raise _____,HELL,Born to raise hell,Medium,Rock Iconic
Golden Earring,Radar Love,"I've been _____ all night, my hand's wet on the wheel",DRIVIN,"I've been drivin' all night, my hand's wet on the wheel",Easy,Rock Iconic
The Sonics,Have Love Will Travel,Have love will _____,TRAVEL,Have love will travel,Medium,Rock Iconic
R.E.M.,Imitation of Life,That's sugar cane that _____ good,TASTED,That's sugar cane that tasted good,Medium,Rock Iconic
Platero y Tú,Behind the Bar,_____,ALUCINANTE,Alucinante,Hard,Rock Iconic
Steve Miller Band,Abracadabra,I'm gonna reach out and _____ ya,GRAB,I'm gonna reach out and grab ya,Easy,Rock Iconic
Midnight Oil,Beds Are Burning,How can we sleep while our beds are _____?,BURNING,How can we sleep while our beds are burning?,Easy,Rock Iconic
Marilyn Manson,Sweet Dreams (Are Made of This),Sweet dreams are made of this who am I to _____?,DISAGREE,Sweet dreams are made of this who am I to disagree?,Easy,Rock Iconic
Paul McCartney,Live and Let Die,_____ and let die,LIVE,Live and let die,Medium,Rock Iconic
Steve Miller Band,The Joker,"I'm a joker, I'm a smoker, I'm a _____ toker",MIDNIGHT,"I'm a joker, I'm a smoker, I'm a midnight toker",Easy,Rock Iconic
Queen,Too Much Love Will Kill You,Too _____ love will kill you,MUCH,Too much love will kill you,Medium,Rock Iconic
Gerry Rafferty,Baker Street,Winding your way _____ on Baker Street,DOWN,Winding your way down on Baker Street,Medium,Rock Iconic
Scorpions,No One Like You,"Girl, it's been a long time that _____ been gone",YOUVE,"Girl, it's been a long time that you've been gone",Medium,Rock Iconic
Status Quo,Whatever You Want,_____ you want whatever you like,WHATEVER,Whatever you want whatever you like,Easy,Rock Iconic
Stealers Wheel,Stuck in the Middle with You,Clowns to the left of me _____ to the right here I am stuck in the middle with you,JOKERS,Clowns to the left of me jokers to the right here I am stuck in the middle with you,Easy,Rock Iconic
The Trashmen,Surfin' Bird,Bird bird bird _____ is the word,BIRD,Bird bird bird bird is the word,Easy,Rock Iconic
The Beatles,A Hard Day's Night,It's been a _____ day's night and I've been working like a dog,HARD,It's been a hard day's night and I've been working like a dog,Easy,Rock Iconic
Tommy James & the Shondells,Mony Mony,Mony _____ mony mony,MONY,Mony mony mony mony,Easy,Rock Iconic
Iggy Pop,The Passenger,I am a passenger and I ride and I _____,RIDE,I am a passenger and I ride and I ride,Easy,Rock Iconic
Mark Knopfler,Going Home,Going _____,HOME,Going home,Hard,Rock Iconic
Lenny Kravitz,American Woman,_____ woman stay away from me,AMERICAN,American woman stay away from me,Easy,Rock Iconic
Bon Jovi,Bed of Roses,I _____ to lay you down in a bed of roses,WANT,I want to lay you down in a bed of roses,Easy,Rock Iconic
U2,With or Without You,I can't _____ with or without you,LIVE,I can't live with or without you,Easy,Rock Iconic
Texas,I Don't Want a Lover,I don't want a lover I just need a _____,FRIEND,I don't want a lover I just need a friend,Medium,Rock Iconic
The Sweet,Ballroom Blitz,And the man in the back is ready to _____,CRACK,And the man in the back is ready to crack,Medium,Rock Iconic
The Cranberries,Zombie,"In your head, in your head, zombie, zombie, _____",ZOMBIE,"In your head, in your head, zombie, zombie, zombie",Easy,Rock Iconic
Blur,Song 2,_____-hoo!,WHOO,Whoo-hoo!,Easy,Rock Iconic
Eric Clapton,I Shot the Sheriff,I shot the _____ but I did not shoot the deputy,SHERIFF,I shot the sheriff but I did not shoot the deputy,Easy,Rock Iconic
Rainbow,Since You Been Gone,"Since you been gone, I'm out of my head can't _____ it",TAKE,"Since you been gone, I'm out of my head can't take it",Easy,Rock Iconic
Bob Seger,Janey Don't Lose Your Heart,Janey don't lose your _____,HEART,Janey don't lose your heart,Medium,Rock Iconic
Weezer,Island in the Sun,On an island in the sun we'll be _____ and having fun,PLAYING,On an island in the sun we'll be playing and having fun,Easy,Rock Iconic
Guns N' Roses,Yesterdays,Yesterdays got _____ for me,NOTHIN,Yesterdays got nothin' for me,Medium,Rock Iconic
Queen,Bicycle Race,I want to ride my bicycle I _____ to ride my bike,WANT,I want to ride my bicycle I want to ride my bike,Easy,Rock Iconic
Queens of the Stone Age,Go with the Flow,I _____ something good to die for,WANT,I want something good to die for,Medium,Rock Iconic
Bon Jovi,Wanted Dead or Alive,I'm a cowboy on a steel _____ I ride,HORSE,I'm a cowboy on a steel horse I ride,Easy,Rock Iconic
Dire Straits,Walk of Life,He got the _____ he got the motion,ACTION,He got the action he got the motion,Easy,Rock Iconic
Eric Clapton,Tears in Heaven,Would you know my name if I saw you in _____?,HEAVEN,Would you know my name if I saw you in heaven?,Easy,Rock Iconic
Platero y Tú,There is Little Rock & Roll,Hay poco rock and _____,ROLL,Hay poco rock and roll,Hard,Rock Iconic
U2,Sweetest Thing,You're the _____ thing,SWEETEST,You're the sweetest thing,Medium,Rock Iconic
Bob Marley,Is This Love,Is this _____ that I'm feeling?,LOVE,Is this love that I'm feeling?,Easy,Rock Iconic
Supertramp,The Logical Song,When I was _____ it seemed that life was so wonderful,YOUNG,When I was young it seemed that life was so wonderful,Easy,Rock Iconic
Sabrina Carpenter,Espresso,"I'm working late, _____ I'm a singer",CAUSE,"I'm working late, 'cause I'm a singer",Easy,Pop 2024/25
Billie Eilish,Birds Of A Feather,Birds of a _____ we should stick together,FEATHER,Birds of a feather we should stick together,Easy,Pop 2024/25
Chappell Roan,Good Luck Babe!,You can kiss a _____ boys in bars,HUNDRED,You can kiss a hundred boys in bars,Medium,Pop 2024/25
Lady Gaga & Bruno Mars,Die With A Smile,"If the world was _____, I'd wanna be next to you",ENDING,"If the world was ending, I'd wanna be next to you",Easy,Pop 2024/25
Rosé & Bruno Mars,APT.,Kissy _____ kissy face / Sent to your phone,FACE,Kissy face kissy face / Sent to your phone,Easy,Pop 2024/25
Kendrick Lamar,Not Like Us,_____ you gotta pop out and show 'em,SOMETIMES,Sometimes you gotta pop out and show 'em,Medium,Pop 2024/25
Olivia Rodrigo,Vampire,"_____, fame fucker, bleeding me dry",BLOODSUCKER,"Bloodsucker, fame fucker, bleeding me dry",Easy,Pop 2024/25
Taylor Swift,Cruel Summer,"I love you, ain't that the worst _____ you ever heard?",THING,"I love you, ain't that the worst thing you ever heard?",Easy,Pop Iconic
Gracie Abrams,That's So True,You're the reason I'm not _____,SLEEPING,You're the reason I'm not sleeping,Medium,Pop 2024/25
Sabrina Carpenter,Taste,I heard you're back together and if that's _____,TRUE,I heard you're back together and if that's true,Medium,Pop 2024/25
Benson Boone,Beautiful Things,I _____ I don't lose you,HOPE,I hope I don't lose you,Easy,Pop 2024/25
The Weeknd & Playboi Carti,Timeless,I'm _____ I'm timeless,TIMELESS,I'm timeless I'm timeless,Medium,Pop 2024/25
Teddy Swims,Lose Control,I'm losing my _____ and I'm losing control,MIND,I'm losing my mind and I'm losing control,Easy,Pop 2024/25
Morgan Wallen,Love Somebody,I just _____ to love somebody,WANT,I just want to love somebody,Easy,Pop 2024/25
Post Malone ft. Morgan Wallen,I Had Some Help,It takes two to break a _____ in two,HEART,It takes two to break a heart in two,Easy,Pop 2024/25
Kendrick Lamar ft. SZA,Luther,_____ I do is for the light,EVERYTHING,Everything I do is for the light,Hard,Pop 2024/25
Shaboozey,A Bar Song (Tipsy),_____ pour me up a double shot of whiskey,SOMEONE,Someone pour me up a double shot of whiskey,Easy,Pop 2024/25
Gracie Abrams,I Love You I'm Sorry,I'm _____ that I'm like this,SORRY,I'm sorry that I'm like this,Medium,Pop 2024/25
Billie Eilish,Wildflower,Did I _____ the line?,CROSS,Did I cross the line?,Medium,Pop 2024/25
Chappell Roan,Pink Pony Club,I'm gonna keep on _____ at the Pink Pony Club,DANCING,I'm gonna keep on dancing at the Pink Pony Club,Easy,Pop 2024/25
Hozier,Too Sweet,I'll _____ my whiskey neat,TAKE,I'll take my whiskey neat,Medium,Pop 2024/25
Ariana Grande,We Can't Be Friends,_____ for your love,WAIT,Wait for your love,Easy,Pop 2024/25
Lola Young,Messy,I'm a mess but I'm _____ there,GETTING,I'm a mess but I'm getting there,Hard,Pop 2024/25
Gracie Abrams,Risk,God I'm a hazard to _____,MYSELF,God I'm a hazard to myself,Medium,Pop 2024/25
Sabrina Carpenter,Please Please Please,Heartbreak is one _____ my ego's another,THING,Heartbreak is one thing my ego's another,Easy,Pop 2024/25
Taylor Swift,I Can Do It With a Broken Heart,"I'm so depressed, I act like it's my _____",BIRTHDAY,"I'm so depressed, I act like it's my birthday",Easy,Pop 2024/25
Olivia Rodrigo,Obsessed,I'm _____ with your ex,OBSESSED,I'm obsessed with your ex,Medium,Pop 2024/25
Kendrick Lamar,Squabble Up,I'm the _____ of the city,KING,I'm the king of the city,Hard,Pop 2024/25
Billie Eilish,Lunch,I could eat that _____ for lunch,GIRL,I could eat that girl for lunch,Easy,Pop 2024/25
Sabrina Carpenter,Bed Chem,I've been _____ about your bed chem,THINKING,I've been thinking about your bed chem,Hard,Pop 2024/25
SZA,Saturn,I'll be on _____,SATURN,I'll be on Saturn,Medium,Pop 2024/25
Tate McRae,Greedy,"I would be greedy, greedy for your _____",LOVE,"I would be greedy, greedy for your love",Easy,Pop 2024/25
Billie Eilish,Chihiro,I don't know what I'm _____ for,WAITING,I don't know what I'm waiting for,Medium,Pop 2024/25
Taylor Swift,Fortnight,I love you it's ruining my _____,LIFE,I love you it's ruining my life,Easy,Pop 2024/25
Ariana Grande,The Boy Is Mine,The boy is _____,MINE,The boy is mine,Easy,Pop 2024/25
Charli XCX,Von Dutch,I'm just _____ that life,LIVING,I'm just living that life,Medium,Pop 2024/25
Chappell Roan,Casual,It's a _____ thing,CASUAL,It's a casual thing,Medium,Pop 2024/25
Noah Kahan,Stick Season,"I love Vermont, but it's the season of the _____",STICKS,"I love Vermont, but it's the season of the sticks",Medium,Pop 2024/25
Kendrick Lamar ft. Future,Like That,First person shooter _____,MODE,First person shooter mode,Hard,Pop 2024/25
Billie Eilish,Happier Than Ever,When I'm away from you I'm _____ than ever,HAPPIER,When I'm away from you I'm happier than ever,Easy,Pop Iconic
Olivia Rodrigo,Good 4 U,Good for you you look happy and _____,HEALTHY,Good for you you look happy and healthy,Easy,Pop Iconic
Sabrina Carpenter,Nonsense,I'm _____ nonsense,TALKING,I'm talking nonsense,Easy,Pop Iconic
Taylor Swift,Anti-Hero,"I'm the _____, it's me",PROBLEM,"I'm the problem, it's me",Easy,Pop Iconic
Harry Styles,As It Was,In this _____ it's just us,WORLD,In this world it's just us,Easy,Pop Iconic
Dua Lipa,Levitating,I'm _____,LEVITATING,I'm levitating,Easy,Pop Iconic
The Weeknd,Blinding Lights,"I'm blinded by the lights, no I can't sleep until I _____ your touch",FEEL,"I'm blinded by the lights, no I can't sleep until I feel your touch",Easy,Pop Iconic
Olivia Rodrigo,Brutal,"God, it's _____ out here",BRUTAL,"God, it's brutal out here",Medium,Pop Iconic
Sabrina Carpenter,Fast Times,_____ times and I'm living it up,FAST,Fast times and I'm living it up,Medium,Pop Iconic
Billie Eilish,What Was I Made For?,I used to float now I only _____,FALL,I used to float now I only fall,Easy,Pop Iconic
Ariana Grande,7 Rings,I see it I like it I _____ it I got it,WANT,I see it I like it I want it I got it,Easy,Pop Iconic
Taylor Swift,Shake It Off,"Haters gonna hate, hate, hate, hate, _____",HATE,"Haters gonna hate, hate, hate, hate, hate",Easy,Pop Iconic
Ed Sheeran,Shape of You,I'm in love with the _____ of you,SHAPE,I'm in love with the shape of you,Easy,Pop Iconic
Lady Gaga,Poker Face,"Can't read my, can't read my, no he can't read my _____ face",POKER,"Can't read my, can't read my, no he can't read my poker face",Easy,Pop Iconic
Beyoncé,Texas Hold 'Em,This ain't Texas ain't no _____ 'em,HOLD,This ain't Texas ain't no hold 'em,Easy,Pop Iconic
Sabrina Carpenter,Thumbs,_____ in the world a heart is breaking,SOMEWHERE,Somewhere in the world a heart is breaking,Medium,Pop Iconic
Kendrick Lamar,Humble,"Sit down, be _____",HUMBLE,"Sit down, be humble",Easy,Pop Iconic
Post Malone,Circles,_____ change and our love went cold,SEASONS,Seasons change and our love went cold,Easy,Pop Iconic
Dua Lipa,Don't Start Now,Don't show up don't _____ out,COME,Don't show up don't come out,Easy,Pop Iconic
Taylor Swift,Blank Space,"I've got a blank space, baby, and I'll write your _____",NAME,"I've got a blank space, baby, and I'll write your name",Easy,Pop Iconic
Chappell Roan,The Subway,I'm _____ the subway,RIDING,I'm riding the subway,Hard,Pop 2024/25
Kendrick Lamar ft. Lefty Gunplay,TV Off,I'm _____ the TV off,TURNING,I'm turning the TV off,Hard,Pop 2024/25
BigXthaPlug,The Largest,I'm the _____,LARGEST,I'm the largest,Hard,Pop 2024/25
Tate McRae,Sports Car,I'm _____ a sports car,DRIVING,I'm driving a sports car,Medium,Pop 2024/25
Justin Bieber,Daisies,I'm picking _____,DAISIES,I'm picking daisies,Medium,Pop 2024/25
Drake ft. PARTYNEXTDOOR,Die Trying,I'm gonna die _____,TRYING,I'm gonna die trying,Hard,Pop 2024/25
Alex Warren & Jelly Roll,Bloodline,It's in my _____,BLOODLINE,It's in my bloodline,Hard,Pop 2024/25
Sabrina Carpenter,Manchild,You're a _____,MANCHILD,You're a manchild,Medium,Pop 2024/25
Gracie Abrams,Baggage,I'm _____ baggage,CARRYING,I'm carrying baggage,Medium,Pop 2024/25
Billie Eilish,Blue,I'm feeling _____,BLUE,I'm feeling blue,Easy,Pop 2024/25
Ariana Grande,Eternal Sunshine,I'm living in eternal _____,SUNSHINE,I'm living in eternal sunshine,Medium,Pop 2024/25
Lady Gaga,Disease,I've got a _____,DISEASE,I've got a disease,Hard,Pop 2024/25
Sabrina Carpenter,Juno,I'm a _____,JUNO,I'm a Juno,Medium,Pop 2024/25
Chappell Roan,Supernova,I'm a _____,SUPERNOVA,I'm a supernova,Easy,Pop 2024/25
Kendrick Lamar,Hiss,I'm a _____,HISS,I'm a hiss,Hard,Pop 2024/25
Billie Eilish,Chihiro,I'm a _____,CHIHIRO,I'm a Chihiro,Medium,Pop 2024/25
Sabrina Carpenter,Taste,I'm a _____,TASTE,I'm a taste,Medium,Pop 2024/25
Gracie Abrams,Risk,I'm a _____,RISK,I'm a risk,Medium,Pop 2024/25
The Strokes,Last Nite,Last night she _____,SAID,Last night she said,Easy,Indie Iconic
The Strokes,Reptilia,"_____ don't slow me down, if I'm going too fast",PLEASE,"Please don't slow me down, if I'm going too fast",Easy,Indie Iconic
The Strokes,Someday,In many ways they'll miss the good old days someday _____,SOMEDAY,In many ways they'll miss the good old days someday someday,Easy,Indie Iconic
The Strokes,Hard to Explain,Was an _____ man asked me for the phone,HONEST,Was an honest man asked me for the phone,Medium,Indie Iconic
The Strokes,The Adults Are Talking,We are the _____ are talking,ADULTS,We are the adults are talking,Medium,Indie Iconic
Tame Impala,The Less I Know the Better,Someone said they _____ together I ran out the door to get her,LEFT,Someone said they left together I ran out the door to get her,Easy,Indie Iconic
Tame Impala,Let It Happen,It's gonna feel so good just let it _____,HAPPEN,It's gonna feel so good just let it happen,Easy,Indie Iconic
Tame Impala,Feels Like We Only Go Backwards,It feels like I only go _____ baby,BACKWARDS,It feels like I only go backwards baby,Easy,Indie Iconic
Tame Impala,Elephant,He pulled the mirrors off his Cadillac 'cause he _____ like it looking like he looks back,DOESNT,He pulled the mirrors off his Cadillac 'cause he doesn't like it looking like he looks back,Medium,Indie Iconic
Tame Impala,New Person Same Old Mistakes,I can just hear them now how could you let us _____?,DOWN,I can just hear them now how could you let us down?,Medium,Indie Iconic
Arctic Monkeys,I Wanna Be Yours,I wanna be your vacuum _____ breathing in your dust,CLEANER,I wanna be your vacuum cleaner breathing in your dust,Easy,AM Core
Arctic Monkeys,Do I Wanna Know?,Have you got colour in your _____?,CHEEKS,Have you got colour in your cheeks?,Easy,AM Core
Arctic Monkeys,505,I'm _____ back to 505,GOING,I'm going back to 505,Easy,AM Core
Arctic Monkeys,Fluorescent Adolescent,You used to get it in your fishnets now you only get it in your _____,NIGHTDRESS,You used to get it in your fishnets now you only get it in your nightdress,Easy,AM Core
Arctic Monkeys,R U Mine?,Are you _____ tomorrow or just mine tonight?,MINE,Are you mine tomorrow or just mine tonight?,Easy,AM Core
The Smiths,There Is a Light That Never Goes Out,To die by your side is such a _____ way to die,HEAVENLY,To die by your side is such a heavenly way to die,Medium,Indie Iconic
The Smiths,How Soon Is Now?,"I am the son and the heir, of a shyness that is _____ vulgar",CRIMINALLY,"I am the son and the heir, of a shyness that is criminally vulgar",Hard,Indie Iconic
The Cure,Boys Don't Cry,I would tell you that I loved you if I _____ that you would stay,THOUGHT,I would tell you that I loved you if I thought that you would stay,Easy,Indie Iconic
The Cure,Lovesong,Whenever I'm alone with you you make me _____ like I am home again,FEEL,Whenever I'm alone with you you make me feel like I am home again,Easy,Indie Iconic
The Killers,Somebody Told Me,Well somebody told me you had a boyfriend who looked like a _____ that I had in February of last year,GIRLFRIEND,Well somebody told me you had a boyfriend who looked like a girlfriend that I had in February of last year,Easy,Indie Iconic
The White Stripes,Seven Nation Army,A seven _____ army couldn't hold me back,NATION,A seven nation army couldn't hold me back,Easy,Indie Iconic
Radiohead,Karma Police,"_____ police, arrest this man",KARMA,"Karma police, arrest this man",Easy,Indie Iconic
Radiohead,No Surprises,"No alarms and no _____, please",SURPRISES,"No alarms and no surprises, please",Medium,Indie Iconic
Arcade Fire,Wake Up,We're just a million little gods _____ rain storms turning every good thing to rust,CAUSING,We're just a million little gods causing rain storms turning every good thing to rust,Medium,Indie Iconic
Arctic Monkeys,Why'd You Only Call Me When You're High?,I'm _____ to change your mind,TRYING,I'm trying to change your mind,Easy,AM Core
Arctic Monkeys,Mardy Bum,I've seen your frown and it's like looking down the _____ of a gun,BARREL,I've seen your frown and it's like looking down the barrel of a gun,Easy,AM Core
Arctic Monkeys,Arabella,Wraps her lips around a _____ Coke,MEXICAN,Wraps her lips around a Mexican Coke,Hard,AM Core
Arctic Monkeys,Cornerstone,I saw your sister in the _____,CORNERSTONE,I saw your sister in the Cornerstone,Medium,AM Core
Arctic Monkeys,Snap Out Of It,Under a spell you're _____,HYPNOTIZED,Under a spell you're hypnotized,Medium,AM Core
The Strokes,Ode to the Mets,The old ways of _____ are back,THINKING,The old ways of thinking are back,Hard,Indie Iconic
Tame Impala,Borderline,Will I be _____ and loved?,KNOWN,Will I be known and loved?,Medium,Indie Iconic
Tame Impala,Lost in Yesterday,If it _____ you embrace it,CALLS,If it calls you embrace it,Hard,Indie Iconic
The Strokes,Selfless,_____ don't be long,PLEASE,Please don't be long,Hard,Indie Iconic
Arctic Monkeys,Knee Socks,You got your knee _____ on,SOCKS,You got your knee socks on,Medium,AM Core
Arctic Monkeys,No. 1 Party Anthem,It's not like I'm falling in _____,LOVE,It's not like I'm falling in love,Hard,AM Core
Arctic Monkeys,Fireside,There's all these secrets that I _____ keep,CANT,There's all these secrets that I can't keep,Hard,AM Core
Arctic Monkeys,Teddy Picker,Who'd want to be men of the people when there's _____ like you?,PEOPLE,Who'd want to be men of the people when there's people like you?,Hard,AM Core
Arctic Monkeys,Crying Lightning,Your past times consisted of the strange and _____ and deranged,TWISTED,Your past times consisted of the strange and twisted and deranged,Hard,AM Core
Arctic Monkeys,Brianstorm,Top _____ for not trying,MARKS,Top marks for not trying,Easy,AM Core
Arctic Monkeys,Star Treatment,I just wanted to be one of the _____,STROKES,I just wanted to be one of the Strokes,Hard,AM Modern
Arctic Monkeys,Four Out Of Five,I put a _____ on the roof,TAQUERIA,I put a taqueria on the roof,Hard,AM Modern
Arctic Monkeys,There'd Better Be a Mirrorball,Don't get _____ that ain't like you,EMOTIONAL,Don't get emotional that ain't like you,Medium,AM Modern
Arctic Monkeys,Body Paint,There's still a trace of body _____ on your legs and on your arms,PAINT,There's still a trace of body paint on your legs and on your arms,Hard,AM Modern
Arctic Monkeys,The Car,_____ about how it used to be,THINKING,Thinking about how it used to be,Hard,AM Modern
Arctic Monkeys,Big Ideas,The orchestra's got us all _____,SURROUNDED,The orchestra's got us all surrounded,Hard,AM Modern
Arctic Monkeys,Hello You,I could pass for 17 if I just had a _____,SHAVE,I could pass for 17 if I just had a shave,Hard,AM Modern
Arctic Monkeys,Mr Schwartz,A little bit of Mr. _____ in the middle of a dream,SCHWARTZ,A little bit of Mr. Schwartz in the middle of a dream,Extreme,AM Modern
Arctic Monkeys,Perfect Sense,And if that's what it _____ to say goodnight,TAKES,And if that's what it takes to say goodnight,Medium,AM Modern
Arctic Monkeys,Stop The World I Wanna Get Off With You,I'm trying to _____ your mind,CHANGE,I'm trying to change your mind,Hard,AM B-Side
Arctic Monkeys,You're So Dark,I saw you driving your _____,PRIUS,I saw you driving your Prius,Extreme,AM B-Side
Arctic Monkeys,The Bakery,I'm sorry I was late I missed the _____,TRAIN,I'm sorry I was late I missed the train,Extreme,AM B-Side
Arctic Monkeys,Despair in the Departure Lounge,She's got her _____ in her pockets and she's looking at her feet,HANDS,She's got her hands in her pockets and she's looking at her feet,Hard,AM Deep Cut
Arctic Monkeys,No Buses,An _____ in your soul and you can't tell them why,ACHE,An ache in your soul and you can't tell them why,Hard,AM B-Side
Arctic Monkeys,Leave Before The Lights Come On,How can you wake up with _____ you don't love?,SOMEONE,How can you wake up with someone you don't love?,Medium,AM Single
Arctic Monkeys,Secret Door,Fools on parade _____ and fuck about,FROLIC,Fools on parade frolic and fuck about,Hard,AM Core
Arctic Monkeys,The Hellcat Spangled Shalalala,Her steady _____ may well have done the devil's pedicure,HANDS,Her steady hands may well have done the devil's pedicure,Hard,AM Core
Arctic Monkeys,Piledriver Waltz,If you're gonna try and walk on water make sure you wear your _____ shoes,COMFORTABLE,If you're gonna try and walk on water make sure you wear your comfortable shoes,Medium,AM Core
Arctic Monkeys,Pretty Visitors,All the pretty visitors came and _____ their arms,WAVED,All the pretty visitors came and waved their arms,Hard,AM Core
Arctic Monkeys,Dance Little Liar,Have you got itchy _____?,BONES,Have you got itchy bones?,Hard,AM Core
Arctic Monkeys,The Jeweller's Hands,_____ his exit was like falling off the ferry in the night,WATCHING,Watching his exit was like falling off the ferry in the night,Extreme,AM Core
Arctic Monkeys,Evil Twin,He's the _____ of the keys and he's gonna let me in,KEEPER,He's the keeper of the keys and he's gonna let me in,Hard,AM B-Side
Arctic Monkeys,Blond-O-Sonic Shimmer Trap,She _____ like fun,LOOKS,She looks like fun,Extreme,AM B-Side
Arctic Monkeys,Science Fiction,Mass _____ on a not too distant future colony,PANIC,Mass panic on a not too distant future colony,Hard,AM Modern
Arctic Monkeys,One for the Road,One for the _____ ooh,ROAD,One for the road ooh,Easy,AM Core
Arctic Monkeys,Fake Tales of San Francisco,You're not from New York City you're from _____,ROTHERHAM,You're not from New York City you're from Rotherham,Medium,AM Core
Arctic Monkeys,The View From The Afternoon,_____ has the habit to set you up,ANTICIPATION,Anticipation has the habit to set you up,Medium,AM Core
Arctic Monkeys,When The Sun Goes Down,And he told _____ to put on her red light,ROXANNE,And he told Roxanne to put on her red light,Medium,AM Core
Arctic Monkeys,Only Ones Who Know,And I hope you're holding _____ by New Year's Eve,HANDS,And I hope you're holding hands by New Year's Eve,Hard,AM Core
Arctic Monkeys,Do Me a Favour,To tear _____ the ties that bind perhaps fuck off might be too kind,APART,To tear apart the ties that bind perhaps fuck off might be too kind,Hard,AM Core
Arctic Monkeys,If You Were There Beware,The circle of snakes with their _____ on the prize,MINDS,The circle of snakes with their minds on the prize,Extreme,AM Core
Arctic Monkeys,Batphone,I've recognized the glow of your low _____ numerous times,BEAMS,I've recognized the glow of your low beams numerous times,Extreme,AM Modern
Arctic Monkeys,I Wanna Be Yours,Secrets I have _____ in my heart are harder to hide than I thought,HELD,Secrets I have held in my heart are harder to hide than I thought,Easy,AM Core
Arctic Monkeys,Knee Socks,You got your knee socks on and you're _____ like you like the help,LOOKIN,You got your knee socks on and you're lookin' like you like the help,Medium,AM Core
